INFO  - 2016-05-13 10:57:57.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-05-13 10:57:57.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2016-05-13 10:57:57.845; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.845; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.845; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2016-05-13 10:57:57.845; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-05-13 10:57:57.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-05-13 10:57:57.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2016-05-13 10:57:57.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2016-05-13 10:57:57.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-05-13 10:57:57.847; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2016-05-13 10:57:57.847; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2016-05-13 10:57:57.847; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2016-05-13 10:57:57.847; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2016-05-13 10:57:57.851; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2016-05-13 10:57:57.852; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-05-13 10:57:57.852; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-05-13 10:57:57.852; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-05-13 10:57:57.853; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2016-05-13 10:57:57.853; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.853; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-05-13 10:57:57.853; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
